REGION,AGE,RACE,RACED,HISPAN,HISPAND,EDUCD,DEGFIELD,CIT,COW,MAR,MIL,PAP,SEX,HICOV,INDP,INCWAGE,POVPIP,POWSP,SOCP,PINCP
3,82,1,100,0,0,63,0,1,B,3,4,0,2,1,BBBB,0,BBB,BBB,BBBBBB,4300
3,76,1,100,0,0,63,0,1,B,5,3,0,1,1,BBBB,0,BBB,BBB,BBBBBB,5800
3,19,1,100,0,0,63,0,1,1,5,4,0,2,2,7980,0,BBB,BBB,292021,0
3,44,1,100,1,100,25,0,1,B,3,4,0,1,2,BBBB,0,BBB,BBB,BBBBBB,0
4,76,3,375,0,0,26,0,1,B,2,4,0,2,1,BBBB,0,6,BBB,BBBBBB,1100
4,55,1,100,0,0,71,0,1,B,1,4,0,2,1,BBBB,0,501,BBB,BBBBBB,2300
4,53,1,100,0,0,63,0,1,1,1,2,0,1,1,770,80000,501,2,119021,80000
4,66,1,100,0,0,115,33,1,4,1,4,0,2,1,9370,0,501,BBB,2310XX,176500
4,66,1,100,0,0,115,55,1,6,1,4,0,1,1,7270,0,501,BBB,2310XX,38200
4,65,1,100,0,0,71,0,1,B,1,4,0,2,1,BBBB,0,71,BBB,BBBBBB,8700
4,57,1,100,0,0,26,0,1,1,1,4,0,1,1,770,0,71,BBB,472031,1800
4,25,1,100,0,0,65,0,1,5,1,1,0,1,1,9790,60000,501,2,493011,60000
4,23,1,100,0,0,101,53,1,4,1,4,0,2,1,9480,75000,501,2,439022,75000
4,50,1,100,0,0,63,0,1,2,1,4,0,1,2,3980,50000,205,2,511011,50000
4,49,1,100,0,0,63,0,1,4,1,4,0,2,2,9370,0,205,BBB,436010,0
4,65,3,375,0,0,63,0,1,1,5,3,0,1,1,5090,3400,353,BBB,536031,14800
4,58,3,375,0,0,101,14,1,3,1,4,0,2,2,9370,30000,353,2,119XXX,31400
4,23,3,375,0,0,71,0,1,3,5,4,0,1,1,9370,20000,353,BBB,435061,21000
4,47,8,802,0,0,63,0,1,3,1,4,0,1,1,7790,110000,501,2,119XXX,111100
4,47,6,640,0,0,63,0,4,6,1,4,0,2,1,8980,0,501,2,395012,66100
4,49,7,700,1,100,63,0,4,3,3,4,0,1,1,6290,50000,408,2,339030,51000
4,54,1,100,2,200,64,0,1,1,1,4,0,1,1,370,0,451,BBB,537070,24000
4,39,1,100,0,0,63,0,1,2,1,4,0,2,1,6680,85000,451,2,151121,86000
4,50,1,100,0,0,116,36,1,6,1,4,0,2,1,8560,0,501,2,273043,100000
4,62,1,100,0,0,116,33,1,1,1,4,0,1,1,7870,100000,501,51,251000,104000
4,38,1,100,0,0,63,0,1,6,1,4,0,1,1,770,0,166,2,472031,41000
